delta change = 
         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40
     44.80     89.60    133.40    177.20    221.00    264.80    308.60    352.40    396.20    440.00    483.80    527.60    571.40    615.20    659.00    702.80    746.60    790.40    834.20    878.00    921.80    965.60   1009.40   1053.20   1097.00   1140.80   1184.60   1228.40   1272.20   1316.00   1359.80   1403.60   1447.40   1491.20   1535.00   1578.80   1622.60   1666.40   1710.20   1754.00
     45.50     91.00    135.50    180.00    224.50    269.00    313.50    358.00    402.50    447.00    491.50    536.00    580.50    625.00    669.50    714.00    758.50    803.00    847.50    892.00    936.50    981.00   1025.50   1070.00   1114.50   1159.00   1203.50   1248.00   1292.50   1337.00   1381.50   1426.00   1470.50   1515.00   1559.50   1604.00   1648.50   1693.00   1737.50   1782.00
     46.20     92.40    137.60    182.80    228.00    273.20    318.40    363.60    408.80    454.00    499.20    544.40    589.60    634.80    680.00    725.20    770.40    815.60    860.80    906.00    951.20    996.40   1041.60   1086.80   1132.00   1177.20   1222.40   1267.60   1312.80   1358.00   1403.20   1448.40   1493.60   1538.80   1584.00   1629.20   1674.40   1719.60   1764.80   1810.00
     46.90     93.80    139.70    185.60    231.50    277.40    323.30    369.20    415.10    461.00    506.90    552.80    598.70    644.60    690.50    736.40    782.30    828.20    874.10    920.00    965.90   1011.80   1057.70   1103.60   1149.50   1195.40   1241.30   1287.20   1333.10   1379.00   1424.90   1470.80   1516.70   1562.60   1608.50   1654.40   1700.30   1746.20   1792.10   1838.00
     47.60     95.20    141.80    188.40    235.00    281.60    328.20    374.80    421.40    468.00    514.60    561.20    607.80    654.40    701.00    747.60    794.20    840.80    887.40    934.00    980.60   1027.20   1073.80   1120.40   1167.00   1213.60   1260.20   1306.80   1353.40   1400.00   1446.60   1493.20   1539.80   1586.40   1633.00   1679.60   1726.20   1772.80   1819.40   1866.00
     48.30     96.60    143.90    191.20    238.50    285.80    333.10    380.40    427.70    475.00    522.30    569.60    616.90    664.20    711.50    758.80    806.10    853.40    900.70    948.00    995.30   1042.60   1089.90   1137.20   1184.50   1231.80   1279.10   1326.40   1373.70   1421.00   1468.30   1515.60   1562.90   1610.20   1657.50   1704.80   1752.10   1799.40   1846.70   1894.00
     49.00     98.00    146.00    194.00    242.00    290.00    338.00    386.00    434.00    482.00    530.00    578.00    626.00    674.00    722.00    770.00    818.00    866.00    914.00    962.00   1010.00   1058.00   1106.00   1154.00   1202.00   1250.00   1298.00   1346.00   1394.00   1442.00   1490.00   1538.00   1586.00   1634.00   1682.00   1730.00   1778.00   1826.00   1874.00   1922.00
     49.70     99.40    148.10    196.80    245.50    294.20    342.90    391.60    440.30    489.00    537.70    586.40    635.10    683.80    732.50    781.20    829.90    878.60    927.30    976.00   1024.70   1073.40   1122.10   1170.80   1219.50   1268.20   1316.90   1365.60   1414.30   1463.00   1511.70   1560.40   1609.10   1657.80   1706.50   1755.20   1803.90   1852.60   1901.30   1950.00
     50.40    100.80    150.20    199.60    249.00    298.40    347.80    397.20    446.60    496.00    545.40    594.80    644.20    693.60    743.00    792.40    841.80    891.20    940.60    990.00   1039.40   1088.80   1138.20   1187.60   1237.00   1286.40   1335.80   1385.20   1434.60   1484.00   1533.40   1582.80   1632.20   1681.60   1731.00   1780.40   1829.80   1879.20   1928.60   1978.00
     51.10    102.20    152.30    202.40    252.50    302.60    352.70    402.80    452.90    503.00    553.10    603.20    653.30    703.40    753.50    803.60    853.70    903.80    953.90   1004.00   1054.10   1104.20   1154.30   1204.40   1254.50   1304.60   1354.70   1404.80   1454.90   1505.00   1555.10   1605.20   1655.30   1705.40   1755.50   1805.60   1855.70   1905.80   1955.90   2006.00
